Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Diversity Fund,San Diego,College of Arts and Sciences,Endowment,8712,2010-11-21,French,1170,CA
University Libraries,San Diego,College of Arts and Sciences,Campus Resource,3885,2013-01-10,French,1170,CA
University Annual Fund,Orlando,College of Agriculture and Natural Resources,Endowment,8939,2010-01-13,Fisheries and Wildlife,1171,FL
Alumni Association,Orlando,College of Agriculture and Natural Resources,Campus Resource,9864,2013-06-07,Fisheries and Wildlife,1171,FL
Honors Program,Nashville,College of Education,Campus Resource,554,2010-09-07,Education,1172,TN
Honors Program,Nashville,College of Education,Campus Resource,3478,2013-11-26,Education,1172,TN
College of Arts and Sciences,Denver,College of Natural Science,Scholarship,12888,2010-07-17,Preoptometry,1173,CO
College of Social Science,Denver,College of Natural Science,Scholarship,4096.5,2013-06-19,Preoptometry,1173,CO
Trustees Fund,Cincinnati,College of Communication Arts and Sciences,Endowment,1778,2010-11-26,Journalism,1174,OH
Faculty Chair Endowments,Cincinnati,College of Communication Arts and Sciences,Endowment,4988,2013-08-12,Journalism,1174,OH
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,8893,2010-11-26,Arabic,1175,CA
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,9804,2013-03-30,Arabic,1175,CA
Trustees Fund,Atlanta,College of Political Science,Endowment,5188,2010-10-04,College of Political Science,1176,GA
College of Arts and Sciences,Atlanta,College of Political Science,Scholarship,2963,2013-05-16,College of Political Science,1176,GA
Alumni Association,New York,College of Education,Campus Resource,4743,2010-08-24,Education,1177,NY
Minority Scholarship Fund,New York,College of Education,Scholarship,3392,2013-08-27,Education,1177,NY
College of Political Science,Denver,College of Political Science,Scholarship,4168.5,2010-04-07,Social Relations and Policy,1178,CO
College of Political Science,Denver,College of Political Science,Scholarship,5689.5,2013-05-11,Social Relations and Policy,1178,CO
College of Natural Science,Memphis,College of Social Science,Scholarship,7391,2010-05-07,Public Policy,1179,TN
Diversity Fund,Memphis,College of Social Science,Endowment,2952,2013-06-22,Public Policy,1179,TN
Diversity Fund,Raleigh,College of Natural Science,Endowment,1620,2010-07-25,Biochemistry and Molecular Biology,1180,NC
College of Communication Arts and Sciences,Raleigh,College of Natural Science,Scholarship,2872,2013-11-12,Biochemistry and Molecular Biology,1180,NC
College of Communication Arts and Sciences,Memphis,College of Business,Scholarship,9783,2010-08-14,Supply Chain Management,1181,TN
College of Natural Science,Memphis,College of Business,Scholarship,2022,2013-03-27,Supply Chain Management,1181,TN
Campus Museums,Los Angeles,College of Social Science,Campus Resource,3804,2010-03-21,Economics,1182,CA
College of Agriculture and Natural Resources,Los Angeles,College of Social Science,Scholarship,173,2013-02-27,Economics,1182,CA
College of Agriculture and Natural Resources,San Diego,College of Arts and Sciences,Scholarship,4948,2010-09-22,Arabic,1183,CA
College of Social Science,San Diego,College of Arts and Sciences,Scholarship,681,2013-02-16,Arabic,1183,CA
Trustees Fund,Grand Rapids,College of Music,Endowment,5040,2010-08-09,Jazz Studies,1184,MI
University Libraries,Grand Rapids,College of Music,Campus Resource,6862,2013-04-28,Jazz Studies,1184,MI
University Annual Fund,Houston,College of Natural Science,Endowment,9725,2010-11-01,Plant Biology,1185,TX
Trustees Fund,Houston,College of Natural Science,Endowment,784,2013-03-06,Plant Biology,1185,TX
Diversity Fund,San Antonio,College of Business,Endowment,5550,2010-10-23,Human Resource Management,1186,TX
Parents Association,San Antonio,College of Business,Campus Resource,5619,2013-08-05,Human Resource Management,1186,TX
Campus Museums,Denver,College of Nursing,Campus Resource,696,2010-04-06,Nursing,1187,CO
Faculty Chair Endowments,Denver,College of Nursing,Endowment,8529,2013-05-25,Nursing,1187,CO
College of Arts and Sciences,Los Angeles,College of Arts and Sciences,Scholarship,1198,2010-06-12,Art Education,1188,CA
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,373,2013-04-26,Art Education,1188,CA
College of Arts and Sciences,Denver,College of Social Science,Scholarship,6027,2010-10-18,Geography,1189,CO
Campus Museums,Denver,College of Social Science,Campus Resource,10927.5,2013-11-15,Geography,1189,CO
Honors Program,Miami,College of Engineering,Campus Resource,9717,2010-03-16,Computer Science,1190,FL
University Annual Fund,Miami,College of Engineering,Endowment,2209,2013-12-30,Computer Science,1190,FL
Campus Recreation,Wichita,College of Natural Science,Campus Resource,4240,2010-06-18,Plant Biology,1191,KS
Athletics,Wichita,College of Natural Science,Campus Resource,8877,2013-05-06,Plant Biology,1191,KS
College of Arts and Sciences,Cleveland,College of Political Science,Scholarship,600,2010-11-17,College of Political Science,1192,OH
College of Music,Cleveland,College of Political Science,Scholarship,6757,2013-11-09,College of Political Science,1192,OH
College of Agriculture and Natural Resources,Oklahoma City,College of Social Science,Scholarship,2414,2010-06-12,Political Science-Prelaw,1193,OK
College of Natural Science,Oklahoma City,College of Social Science,Scholarship,2585,2013-02-26,Political Science-Prelaw,1193,OK
University Libraries,Denver,College of Arts and Sciences,Campus Resource,1657.5,2010-12-30,Japanese,1194,CO
Campus Recreation,Louisville,College of Arts and Sciences,Campus Resource,5794,2010-04-28,Professional Writing,1195,KY
College of Nursing,Hartford,College of Arts and Sciences,Scholarship,9908,2010-03-17,Interdisciplinary Humanities,1196,CT
College of Nursing,Cincinnati,College of Music,Scholarship,6334,2010-11-14,Composition,1197,OH
Parents Association,Detroit,College of Natural Science,Campus Resource,3648,2010-11-22,Actuarial Science,1198,MI
College of Natural Science,Oklahoma City,College of Agriculture and Natural Resources,Scholarship,6330,2010-12-15,Construction Management,1199,OK
College of Communication Arts and Sciences,Philadelphia,College of Communication Arts and Sciences,Scholarship,5818,2010-12-27,Media and Information,1200,PA
College of Social Science,Omaha,College of Agriculture and Natural Resources,Scholarship,7188,2010-10-12,Packaging,1201,NE
College of Social Science,Omaha,College of Agriculture and Natural Resources,Scholarship,888,2013-05-25,Packaging,1201,NE
College of Social Science,San Diego,College of Social Science,Scholarship,7547,2010-01-29,Social Work,1202,CA
Diversity Fund,San Diego,College of Social Science,Endowment,3367,2013-09-13,Social Work,1202,CA
University Annual Fund,Denver,College of Nursing,Endowment,7341,2010-08-25,Summer Research Program,1203,CO
University Annual Fund,Denver,College of Nursing,Endowment,9774,2013-08-30,Summer Research Program,1203,CO
Parents Association,Seattle,College of Natural Science,Campus Resource,2646,2010-04-27,Predental,1204,WA
College of Natural Science,Seattle,College of Natural Science,Scholarship,1793,2013-04-22,Predental,1204,WA
Parents Association,Salt Lake City,College of Business,Campus Resource,2468,2010-10-02,Finance,1205,UT
Parents Association,Salt Lake City,College of Business,Campus Resource,9739,2013-05-07,Finance,1205,UT
College of Social Science,Philadelphia,College of Natural Science,Scholarship,6148,2010-11-08,Predental,1206,PA
College of Agriculture and Natural Resources,Philadelphia,College of Natural Science,Scholarship,2873,2013-09-10,Predental,1206,PA
College of Natural Science,El Paso,College of Natural Science,Scholarship,7315,2010-12-01,Physical Science Interdepartmental,1207,TX
University Libraries,El Paso,College of Natural Science,Campus Resource,8257,2013-02-20,Physical Science Interdepartmental,1207,TX
College of Arts and Sciences,Phoenix,College of Arts and Sciences,Scholarship,4217,2010-06-19,Arts & Letters-General,1208,AZ
Faculty Chair Endowments,Phoenix,College of Arts and Sciences,Endowment,3071,2013-07-13,Arts & Letters-General,1208,AZ
University Annual Fund,New York,College of Business,Endowment,4745,2010-04-21,Supply Chain Management,1209,NY
Campus Museums,New York,College of Business,Campus Resource,5288,2013-04-05,Supply Chain Management,1209,NY
College of Arts and Sciences,Cleveland,College of Business,Scholarship,1001,2010-05-03,General Management,1210,OH
University Annual Fund,Cleveland,College of Business,Endowment,6146,2013-03-08,General Management,1210,OH
University Annual Fund,Lincoln,College of Engineering,Endowment,8078,2010-04-10,Materials Science and Engineering,1211,NE
Athletics,Lincoln,College of Engineering,Campus Resource,6371,2013-08-11,Materials Science and Engineering,1211,NE
Faculty Chair Endowments,San Diego,College of Veterinary Medicine,Endowment,3496,2010-10-21,Preveterinary,1212,CA
Diversity Fund,San Diego,College of Veterinary Medicine,Endowment,6451,2013-05-18,Preveterinary,1212,CA
Minority Scholarship Fund,Oklahoma City,College of Natural Science,Scholarship,8960,2010-02-05,Actuarial Science,1213,OK
College of Social Science,Oklahoma City,College of Natural Science,Scholarship,6301,2013-05-22,Actuarial Science,1213,OK
Diversity Fund,Chicago,College of Nursing,Endowment,1858,2010-08-15,Prenursing,1214,IL
In-State Scholarship Fund,Chicago,College of Nursing,Scholarship,5634,2013-11-22,Prenursing,1214,IL
College of Arts and Sciences,Savannah,College of Veterinary Medicine,Scholarship,7219,2010-09-21,Preveterinary,1215,GA
College of Arts and Sciences,Savannah,College of Veterinary Medicine,Scholarship,7575,2013-02-04,Preveterinary,1215,GA
College of Arts and Sciences,New York,College of Agriculture and Natural Resources,Scholarship,9640,2010-04-11,Construction Management,1216,NY
Minority Scholarship Fund,New York,College of Agriculture and Natural Resources,Scholarship,2015,2013-02-16,Construction Management,1216,NY
Faculty Chair Endowments,Minneapolis,College of Social Science,Endowment,9532,2010-11-10,Political Science,1217,MN
Trustees Fund,Minneapolis,College of Social Science,Endowment,2587,2013-05-01,Political Science,1217,MN
University Annual Fund,Denver,College of Education,Endowment,7663.5,2010-07-30,Kinesiology,1218,CO
Campus Museums,Denver,College of Education,Campus Resource,10689,2013-07-10,Kinesiology,1218,CO
Campus Museums,Murfreesboro,College of Arts and Sciences,Campus Resource,7242,2010-09-28,Japanese,1219,TN
College of Agriculture and Natural Resources,Murfreesboro,College of Arts and Sciences,Scholarship,8199,2013-05-22,Japanese,1219,TN
College of Engineering,Miami,College of Agriculture and Natural Resources,Scholarship,1864,2010-03-01,Construction Management,1220,FL
Trustees Fund,Miami,College of Agriculture and Natural Resources,Endowment,8561,2013-09-09,Construction Management,1220,FL
Diversity Fund,Lansing,College of Social Science,Endowment,999,2010-06-29,History Education,1221,MI
College of Arts and Sciences,Lansing,College of Social Science,Scholarship,313,2013-11-07,History Education,1221,MI
University Annual Fund,Denver,College of Education,Endowment,13920,2010-06-29,Athletic Training,1222,CO
College of Education,Denver,College of Education,Scholarship,6357,2013-08-07,Athletic Training,1222,CO
College of Agriculture and Natural Resources,Los Angeles,College of Social Science,Scholarship,8898,2010-01-05,Political Science-Prelaw,1223,CA
College of Political Science,Los Angeles,College of Social Science,Scholarship,4821,2013-03-27,Political Science-Prelaw,1223,CA
Trustees Fund,New York,College of Natural Science,Endowment,2639,2010-01-13,Chemistry,1224,NY
University Annual Fund,New York,College of Natural Science,Endowment,8906,2013-04-05,Chemistry,1224,NY
University Libraries,Lincoln,College of Social Science,Campus Resource,3885,2010-07-03,Human Development and Family Studies,1225,NE
In-State Scholarship Fund,Lincoln,College of Social Science,Scholarship,267,2013-02-21,Human Development and Family Studies,1225,NE
College of Social Science,Salt Lake City,College of Natural Science,Scholarship,9864,2010-02-17,Mathematics,1226,UT
College of Agriculture and Natural Resources,Salt Lake City,College of Natural Science,Scholarship,7019,2013-09-11,Mathematics,1226,UT
University Annual Fund,Madison,College of Music,Endowment,9434,2010-06-03,Composition,1227,WI
College of Agriculture and Natural Resources,Washington,College of Natural Science,Scholarship,9314,2010-09-06,Geological Sciences,1228,DC
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,1553,2010-03-12,Environmental Economics and Policy,1229,IL
University Annual Fund,Denver,College of Engineering,Endowment,11659.5,2010-09-17,Applied Engineering Sciences,1230,CO
Parents Association,Lexington,College of Business,Campus Resource,2639,2010-08-13,Accounting,1231,KY
Faculty Chair Endowments,Indianapolis,College of Arts and Sciences,Endowment,3263,2010-06-11,Russian,1232,IN
Athletics,New Orleans,College of Business,Campus Resource,3670,2010-12-10,Human Resource Management,1233,LA
University Annual Fund,Cedar Rapids,College of Natural Science,Endowment,6171,2010-07-10,Earth Science Interdepartmental,1234,IA
Honors Program,Lexington,College of Arts and Sciences,Campus Resource,6656,2010-05-03,Japanese,1235,KY
College of Natural Science,Denver,College of Social Science,Scholarship,13669.5,2010-06-26,World Politics,1236,CO
College of Natural Science,Miami,College of Business,Scholarship,7843,2010-11-07,Accounting,1237,FL
College of Natural Science,Memphis,College of Engineering,Scholarship,9395,2010-05-18,Applied Engineering Sciences,1238,TN
College of Natural Science,Durham,College of Business,Scholarship,3135,2010-12-08,Human Resource Management,1239,NC
College of Natural Science,Mobile,College of Engineering,Scholarship,3478,2010-07-25,Materials Science and Engineering,1240,AL
Trustees Fund,Mobile,College of Engineering,Endowment,2524,2013-10-04,Materials Science and Engineering,1240,AL
